rank_nominal,name,net_worth_usd,country,source
1,Elon Musk,342.0,United States,Forbes RT 2026-09-07
2,Mark Zuckerberg,216.0,United States,Forbes RT 2026-09-07
3,Jeff Bezos,215.0,United States,Forbes RT 2026-09-07
4,Larry Ellison,192.0,United States,Forbes RT 2026-09-07
5,Bernard Arnault & family,178.0,France,Forbes RT 2026-09-07
6,Warren Buffett,154.0,United States,Forbes RT 2026-09-07
7,Larry Page,144.0,United States,Forbes RT 2026-09-07
8,Sergey Brin,138.0,United States,Forbes RT 2026-09-07
9,Bill Gates,135.0,United States,Forbes RT 2026-09-07
10,Amancio Ortega,124.0,Spain,Forbes RT 2026-09-07
11,Michael Bloomberg,122.0,United States,Forbes RT 2026-09-07
12,Steve Ballmer,118.0,United States,Forbes RT 2026-09-07
13,Mukesh Ambani,110.0,India,Forbes RT 2026-09-07
14,Gautam Adani,105.0,India,Forbes RT 2026-09-07
15,Carlos Slim Helu & family,102.0,Mexico,Forbes RT 2026-09-07
16,Francoise Bettencourt Meyers & family,99.0,France,Forbes RT 2026-09-07
17,Michael Dell,95.0,United States,Forbes RT 2026-09-07
18,Jensen Huang,92.0,United States,Forbes RT 2026-09-07
19,Jim Walton,88.0,United States,Forbes RT 2026-09-07
20,Rob Walton,87.0,United States,Forbes RT 2026-09-07
21,Alice Walton,86.0,United States,Forbes RT 2026-09-07
22,David Thomson & family,78.0,Canada,Forbes RT 2026-09-07
23,Zhong Shanshan,75.0,China,Forbes RT 2026-09-07
24,Charles Koch,68.0,United States,Forbes RT 2026-09-07
25,Julia Koch & family,68.0,United States,Forbes RT 2026-09-07
26,Dieter Schwarz,55.0,Germany,Forbes RT 2026-09-07
27,Zhang Yiming,50.0,China,Forbes RT 2026-09-07
28,Phil Knight & family,48.0,United States,Forbes RT 2026-09-07
29,Mark Mateschitz,45.0,Austria,Forbes RT 2026-09-07
30,Tadashi Yanai & family,44.0,Japan,Forbes RT 2026-09-07
31,Giovanni Ferrero,43.8,Italy,Forbes RT 2026-09-07
32,Savitri Jindal & family,39.8,India,Forbes RT 2026-09-07
33,Colin Huang,38.2,China,Forbes RT 2026-09-07
34,Li Ka-shing,37.3,Hong Kong,Forbes RT 2026-09-07
35,Shiv Nadar,37.2,India,Forbes RT 2026-09-07
36,Klaus-Michael Kuehne,36.8,Germany,Forbes RT 2026-09-07
37,Low Tuck Kwong,35.0,Indonesia,Forbes RT 2026-09-07
38,Tony Bloom,35.0,United Kingdom,Forbes RT 2026-09-07
39,Masayoshi Son,34.0,Japan,Forbes RT 2026-09-07
40,William Lei Ding,33.0,China,Forbes RT 2026-09-07
41,He Xiangjian,32.0,China,Forbes RT 2026-09-07
42,Charles de Croes de Liedekerke,31.5,Belgium,Forbes RT 2026-09-07
43,Stephen Schwarzman,31.0,United States,Forbes RT 2026-09-07
44,R. Budi Hartono,31.0,Indonesia,Forbes RT 2026-09-07
45,Michael Hartono,30.0,Indonesia,Forbes RT 2026-09-07
46,Len Blavatnik,30.0,United States,Forbes RT 2026-09-07
47,Vladimir Potanin,29.1,Russia,Forbes RT 2026-09-07
48,Dietrich Mateschitz (estate),28.5,Austria,Forbes RT 2026-09-07
49,Roman Abramovich,28.5,Russia,Forbes RT 2026-09-07
50,Jack Ma,26.4,China,Forbes RT 2026-09-07
